a,AT_sg,article,lidwoord,артикль,singular definite article,"enkelvoud bepaald lidwoord (de, het)",Yu mu tapu a fensre noso a alen o wai kon inisei.,You need to shut the window or else the rain will blow in.,Je moet het raam dichtmaken anders waait de regen naar binnen.
den,AT_pl,article,lidwoord,артикль,plural definite article,bepaald meervoud lidwoord,Den tu pikin fu mi lobi fu nyan bami.,My two children love to eat bami (lit: The two children of mine...).,Mijn twee kinderen houden van bami (lett: De twee kinderen van mij...).
na,FOC,article,lidwoord,артикль,emphasis marker,geeft nadruk op een zinsdeel dat voorop in een zin wordt geplaatst,Na drape un mus go.,We must go there (emp).,Dáár moeten we gaan.
wan,AT_ind,article,lidwoord,артикль,singular indefinite article (a),enkelvoud onbepaald lidwoord (een),A teki wan nefi dan a koti a meti nanga en.,He took a knife and cut the meat with it.,Hij pakte een mes en sneed het vlees ermee.
