ba,NP_titel,title,titel,обращение,"mister, brother (Brer)",meneer,Opa ferteri unu wan tori fa Anansi ben rei Ba Tigri.,Grandpa told us a story about how Anansi rode on Brer Tiger.,Opa vertelde ons een verhaal over hoe Anansi Meneer Tijger bereed.
ma,NP_titel,title,titel,обращение,mother,moeder,,,
masra,NP_titel,title,titel,обращение,"mister, sir, gentleman","meneer, de heer",Tide neti wi o kari masra Anijs fu kon taki abra en wroko.,Tonight we have asked mister Anijs to come speak about his work.,Vanavond hebben we meneer Anijs uitgenodigd om over zijn werk te praten.
oma,NP_titel,title,titel,обращение,term of address for an older woman,aanspreektitel voor een oudere vrouw,,,
opa,NP_titel,title,titel,обращение,term of address for an older man,aanspreektitel voor een oudere man,,,
pa,NP_titel,title,titel,обращение,term of address for an important person,aanspreektitel voor een vooraanstaand persoon,,,
sa,NP_titel,title,titel,обращение,"misses, sister","mevrouw, zus, zuster",,,
tata,NP_titel,title,titel,обращение,"father, ancestor","vader, voorouder",Wi Tata na hemel ...,Our Father in heaven ...,Onze Vader die in de hemel zijt...
