di,REL_subj,relative pronoun,betrekkelijk voornaamwoord,относительное местоимение,"that, which, who","die, dat, welke, hetwelk, dewelke",A man di gi mi a papira no taigi mi san fu du nanga en.,The man who gave me the paper didn’t tell me what to do with it.,"De man die me het papier gaf, heeft me niet gezegd wat ik ermee moet doen."
fa,REL_adv,relative pronoun,betrekkelijk voornaamwoord,относительное местоимение,how,hoe,Mi no sabi fa yu e meki boyo.,I don’t know how you make boyo.,Ik weet niet hoe je boyo maakt.
pe,REL_adv,relative pronoun,betrekkelijk voornaamwoord,относительное местоимение,where,waar,Mi e tan pe a skowtu-oso de.,I live where the police station is.,Ik woon waar de politiepost is.
san,REL_obj,relative pronoun,betrekkelijk voornaamwoord,относительное местоимение,that,die,San na den sani san yu e du dape?,What is it that you do there?,Wat zijn de dingen die je daar uithaalt?
sonwan,REL_subj,relative pronoun,betrekkelijk voornaamwoord,относительное местоимение,some,sommige,,,
suma,REL_subj,relative pronoun,betrekkelijk voornaamwoord,относительное местоимение,who,"wie, welke persoon",Skowtu no sabi suma du a sani.,The police don’t know who did it.,De politie weet niet wie dat gedaan heeft.
