dati,COMPL,complementizer,complementeerder,комплементатор,that,dat,Den boi taki dati den o kon tamara baka.,The boys said that they would come back tomorrow.,De jongens zeiden dat ze morgen terug zullen komen.
fu,COMPL,complementizer,complementeerder,комплементатор,"to, in order to, that, so that",om,Den bigiman e kon makandra fu taki a moni tori.,The leaders come together (in order) to discuss the money situation.,De leiders komen bij elkaar om de geldzaak te bespreken.
leki,COMPL,complementizer,complementeerder,комплементатор,"like, as, as if","als, alof, zoals",A lobi en leki en eigi pikin.,She loves her like her own child.,Ze houdt van haar als haar eigen kind.
meki,COMPL,complementizer,complementeerder,комплементатор,cause to happen,veroorzaken,Na a bigi alen fu freida meki tak' furu sma no kon.,The heavy rain on Friday caused many people not to come.,De zware regen van vrijdag was de oorzaak dat vele mensen niet kwamen.
neleki,COMPL,complementizer,complementeerder,комплементатор,just like,net als,Den boi disi e wroko tranga neleki fa den ppa ben wroko tranga.,These boys work hard just like their father did.,"Deze jongens werken hard, net zoals hun vader dat deed."
soleki,COMPL,complementizer,complementeerder,комплементатор,such as,zoals,"Someni sani ben de fu nyan, soleki her'heri, moksi-aleisi, losi fowru, kari kon.","There were so many things to eat, such as her’heri, moksi-aleisi, baked chicken, and so forth.","Er was zoveel te eten, zoals her'heri, moksi-aleisi, geroosterde kip, enzovoorts."
tak',COMPL,complementizer,complementeerder,комплементатор,that,dat,,,
taki,COMPL,complementizer,complementeerder,комплементатор,that,dat,Yu denki taki yu o man du en?,Do you think that you can do it?,Denk je dat je het kunt doen?
leki fa,COMPL,complementizer,complementeerder,комплементатор,,,,,
