ben,TAM_past,TAM marker,TAM,маркеры времени-модальности-аспекта,anterior/relative past marker,duidt de verleden tijd aan,Mi ben de na ati-oso.,I was in the hospital.,Ik lag in het ziekenhuis.
bo,TAM_pot,TAM marker,TAM,маркеры времени-модальности-аспекта,auxiliary verb used to express an unrealized possibility in the past or a hypothetical situation in the future,zouden,Den konkruman mus luku bun! A bo moro bun gi den efu den no ben si a krin fu dei.,Traitors must beware! It would be better for them if they had never seen the light of day.,Verraders moeten oppassen! Het zou beter voor ze zijn als ze niet geboren waren.
e,TAM_impf,TAM marker,TAM,маркеры времени-модальности-аспекта,indicates that the action of the verb is still in progress or that it repetitive is,duidt aan met het werkwoord dat de handeling nog niet voltooid is of een gewoonte is,Ala dei mi e waka kon na wroko.,I walk to work every day.,Elke dag loop ik naar het werk.
no,NEG,negation,negatie,отрицание,not,"niet, geen",No wan enkri sma kon tide.,Not a single person came today.,Geen enkel persoon is vandaag gekomen.
o,TAM_fut,TAM marker,TAM,маркеры времени-модальности-аспекта,future tense marker,duidt de toekomende tijd aan,No span. Mi o tyari en kon tamara.,Don’t worry. I will bring it for you tomorrow.,Maak je niet bezorgd. Ik zal het morgen voor je brengen.
