hari,JJ,adjective,bijvoeglijk naamwoord,прилагательное,"slim, skinny, slender","slank, mager",Yu kon hari!,You’ve gotten skinny!,Je bent mager geworden!
pikinso,JJ,adjective,bijvoeglijk naamwoord,прилагательное,a little,"een beetje, weinig",A fufuruman gwe nanga a pikinso moni san mi ben kibri.,The thief ran off with the little money that I had set aside.,De dief is weggegaan met het klein beetje geld dat ik bewaard had.
sari,JJ,adjective,bijvoeglijk naamwoord,прилагательное,sad,"droevig, verdrietig","Di un kon na wroko, un kisi a sari boskopu tak' wantu wrokoman kisi mankeri.",When we came to work we got the sad news that some workers were injured.,"Toen we aan het werk kwamen, kregen we het droevige bericht dat enkele medewerkers een ongeluk opgelopen hadden."
sowan,JJ,adjective,bijvoeglijk naamwoord,прилагательное,of the same kind,"zo een, soortgelijke",Mi wani bai sowan oloisi.,I want to buy such a watch.,Ik wil zo'n horloge kopen.
srefi,JJ,adjective,bijvoeglijk naamwoord,прилагательное,same,zelfde,Ala dei na den srefi sma e kon ferferi unu.,Every day the same people come and bother us.,Elke dag komen dezelfde mensen ons plagen.
wan,JJ,adjective,bijvoeglijk naamwoord,прилагательное,"only, one",enigste,A wan sani san mi wani taigi yu ...,The one thing I want to tell you is ...,Het enige dat ik wil zeggen is ...
yongu,JJ,adjective,bijvoeglijk naamwoord,прилагательное,"not ripe, green",onrijp,Den bakba disi yongu ete.,These bananas are still green.,Deze bacoven (bananen) zijn nog onrijp.
