densrefi,PPL_3pl,reflexive pronoun,wederkerend voornaamwoord,возвратное местоимение,3rd person plural reflexive pronoun,"hunzelf, elkaar (3de persoon meervoud wederkerend vnw)",,,
ensrefi,PPL_3sg,reflexive pronoun,wederkerend voornaamwoord,возвратное местоимение,3rd person singular reflexive pronoun,zichzelf,A gi ensrefi mankeri.,He injured himself.,Hij heeft zichzelf verwond.
misrefi,PPL_1sg,reflexive pronoun,wederkerend voornaamwoord,возвратное местоимение,1st person singular reflexive pronoun,mezelf,Mi gi misrefi mankeri di mi ben e kapu den taki.,I injured myself while chopping the branches.,Ik heb mezelf verwond toen ik de takken kapte.
unsrefi,PPL_1+2pl,reflexive pronoun,wederkerend voornaamwoord,возвратное местоимение,1st + 2nd person plural reflexive pronoun,"uzelf, elkaar (1ste + 2de persoon meervoud wederkerend voornaamwoord",,,
wisrefi,PPL_1pl,reflexive pronoun,wederkerend voornaamwoord,возвратное местоимение,1st person plural reflexive pronoun,"elkaar, 1ste persoon meervoud wederkerend vnw","Efu wi e tan feti so doro, wi o kiri wisrefi.","If we keep fighting like this, we will destroy ourselves.","Als we zo blijven vechten, zullen we elkaar uitroeien"
yusrefi,PPL_2sg,reflexive pronoun,wederkerend voornaamwoord,возвратное местоимение,2nd person singular reflexive pronoun,jezelf,,,
