abra,IN,preposition,voorzetel,предлог,about,over,Den boi na tapu uku e taki abra a nowtu fu a kondre.,The boys on the corner are talking about the difficulties in the country.,De jongens op de hoek praten over de noodsituatie in het land.
anga,IN_inst,preposition,voorzetel,предлог,"with, together with","met, samen met",,,
fu,OF,preposition,voorzetel,предлог,of,van,A oto na fu en.,The car is his. (lit: is of him),De auto is van hem.
fu,IN,preposition,voorzetel,предлог,about,over,Den e taki wan tori fu Anansi.,They’re talking about Anansi.,Ze spreken over Anansi.
gi,IN_dat,preposition,voorzetel,предлог,"for, to, on, on behalf of","voor, ten behoeve van, aan",Go bai wan brede gi mi.,Go buy some bread for me.,Ga een brood voor me kopen.
nanga,IN_inst,preposition,voorzetel,предлог,"with, together with","met, samen met",Mi go nanga mi brada na foto.,I went with my brother to town.,Ik ging met mijn broer naar de stad.
te,IN,preposition,voorzetel,предлог,"until, in, at","tot, tegen, in",Den man kon te mindrineti.,The men came at midnight.,De mannen zijn tegen middernacht aangekomen.
wan,IN,preposition,voorzetel,предлог,about,ongeveer,A: O lati a sa de? B: Un kan de wan neigi yuru.,A: What time is it? B: About nine o’clock.,A: Hoe laat kan het zijn? B: Het is ongeveer negen uur.
