alamala,AP,specifier,specificeerder,спецификатор,"all, everyone, everything","allemaal, iedereen, allen, alles",Un alamala o go tide na foto.,We are all going to town today.,We gaan vandaag allemaal naar de stad.
srefi,AP,specifier,specificeerder,спецификатор,places emphasis on the subject of a sentence,legt nadruk op het onderwerp,Na en srefi ben mus du ala sani.,He himself had to do everything.,Hij moest alles zelf doen.
wan,AP,specifier,specificeerder,спецификатор,"only, one",enigste,A wan sani san mi wani taigi yu ...,The one thing I want to tell you is ...,Het enige dat ik wil zeggen is ...
wawan,AP,specifier,specificeerder,спецификатор,"alone, only",alleen,Na a pasi disi wawan e go na Albina.,This is the only road that goes to Albina.,Slechts deze weg alleen gaat naar Albina.
