den,PP$_3pl,possessive pronoun,bezittelijk voornaamwoord,притяжательное местоимение,3rd person plural possessive pronoun,3de persoon enkelvoud bezittelijk voornaamwoord,"Di den man gwe na den kondre baka, den taki fu Sranan.","When the people returned to their country, they spoke about Suriname.","Toen de mensen in hun land teruggekeerd waren, sprakenzij over Suriname."
en,PP$_3sg,possessive pronoun,bezittelijk voornaamwoord,притяжательное местоимение,3rd person singular possessive pronoun,3de persoon enkelvoud bezittelijk voornaamwoord,A dagu e leki en soro futu.,The dog is licking its sore paw.,De hond likt zijn gewonde poot.
mi,PP$_1sg,possessive pronoun,bezittelijk voornaamwoord,притяжательное местоимение,1st person singular possessive pronoun,1ste persoon enkelvoud bezittelijk voornaamwoord,Gi mi en dya.,Give it to me here.,Geef hier (lett: geef het me hier).
unu,PP$_1+2pl,possessive pronoun,bezittelijk voornaamwoord,притяжательное местоимение,1st + 2nd person plural possessive pronoun,1ste + 2de persoon enkelvoud bezittelijk voornaamwoord,Mi no man go nanga unu tide.,I can’t go with you today.,Ik kan vandaag niet met jullie meegaan.
wi,PP$_1pl,possessive pronoun,bezittelijk voornaamwoord,притяжательное местоимение,1st person plural possessive pronoun,1ste persoon enkelvoud bezittelijk voornaamwoord,Wi e kon dalek.,We are coming right away.,We komen straks.
yu,PP$_2sg,possessive pronoun,bezittelijk voornaamwoord,притяжательное местоимение,2nd person singular possessive pronoun,2de persoon enkelvoud bezittelijk voornaamwoord,,,
i,PP$_2sg,personal pronoun,persoonlijk voornaamwoord,притяжательное местоимение,2nd person singular possessive pronoun,2de persoon enkelvoud bezittelijk voornaamwoord,,,
y',PP$_2sg,personal pronoun,persoonlijk voornaamwoord,притяжательное местоимение,2nd person singular possessive pronoun,2de persoon enkelvoud bezittelijk voornaamwoord,,,
