abi fu,MD,modal verb,modaal werkwoord ,модальный глагол,"have to, must",,Ala pikin fu fo yari abi fu go na skoro.,All children four years old and up have to go to school.,Alle kinderen van vier jaar en ouder moeten naar school.
kan,MD,modal verb,modaal werkwoord ,модальный глагол,"can, able (it is allowed)","kunnen, mogen (het is toegestaan)",Mi no kan meki a bangi tapu Bun Freida. Mi no wani spikri Yesus baka na a kroisi.,I cannot make the bench on Good Friday. I do not want to nail Jesus to the cross again.,"Ik kan de bank niet op Goede Vrijdag maken, omdat ik wil Jezus niet opnieuw aan het kruis spijkeren."
man,MD,modal verb,modaal werkwoord ,модальный глагол,verbal auxiliary used to indicate that the subject is capable of performing a given task,"in staat zijn, kunnen","Tide mi no man meki a bangi gi yu, bika mi mu go na wroko. Ma tamara mi oman.",Today I cannot make the bench for you because I have to go to work. But tomorrow I can.,"Vandaag ben ik niet in staat om die bank voor je te maken, omdat ik naar het werk moet gaan. Maar morgen kan ik het wel doen."
mu,MD,modal verb,modaal werkwoord ,модальный глагол,must,moeten,,,
mus,MD,modal verb,modaal werkwoord ,модальный глагол,must,moeten,,,
musu,MD,modal verb,modaal werkwoord ,модальный глагол,"should, must, be obliged to, have to",moeten,"Te den pikin tapu fo yari, den mus fu go na skoro.",When the children turn four they must go to school.,"Als de kinderen vier jaar oud zijn, moeten ze naar school."
sa,MD,modal verb,modaal werkwoord ,модальный глагол,future tense marker,"duidt de toekomende tijd aan (met een onzekerheid), zullen","Efu a no kon tide, dan a sa kon tamara.","If he doesn’t come today, then he will come tomorrow.","Als hij vandaag niet komt, dan zal hij morgen komen."
wani,MD,modal verb,modaal werkwoord ,модальный глагол,want,willen,Esde mi ben wani kon na yu.,Yesterday I wanted to come to you.,Gisteren wou ik bij je komen.
mag,MD,modal verb,modaal werkwoord,модальный глагол,permission,mogen,,,
